Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,54861.503832112445,0,0.14791770417573305,0.13610442127173072,0.5063250593433968,0.5163250593433968
1,55618.944840594646,1,0.06106232216582482,0.05292083752308249,-6.574601973952099e-16,0.009999999999980691
2,56358.02070926111,1,0.041913799998562665,0.026777456525146015,2.3071822230491534e-16,0.010000000000000231
3,56358.02070926112,0,0.061422645670280544,0.04491143515189285,0.05170866571290423,0.06090415993033215
4,56358.02070926112,0,0.08624364406727515,0.06700472401485509,0.06127828949700676,0.04713640747576919
5,56858.771044681795,1,0.051501624764645745,0.04240487667754336,0.010024103892273714,0.013240263735741156
6,57399.231145691796,1,0.038215293256649324,0.021487089233746672,4.440892098500626e-16,0.00999999999999135
7,57399.231145691796,0,0.05247622854036937,0.039095497610667156,0.034430739168329616,0.020711212114157274
8,57399.23114569181,0,0.07866033649396167,0.06574876304336717,0.055162355791106954,0.03981156215226477
9,57399.231145691796,0,0.10710971533818059,0.1024054170997874,0.07735128840270455,0.06365251486512923
10,58541.17623338012,1,0.07130054863440022,0.0672651786277088,0.010501558114032647,0.020501558114032647
11,58541.1762333801,0,0.11266118919354312,0.09966659000272156,0.09037071294586753,0.10037071294586752
12,58541.17623338013,0,0.16561386111091841,0.15227123833261705,0.11253129607949243,0.09925004448556439
13,58848.07669052901,1,0.10062680999971535,0.09644462632789912,0.09239538400494718,0.10239538400494717
14,58848.07669052899,0,0.15575864588130017,0.1485597759391265,0.10054816407854794,0.09624295701800856
15,58848.07669052901,0,0.19264363044907062,0.19260311970915944,0.155240580208877,0.1483857910808437
16,58909.4742871058,1,0.1221963058477412,0.1068502390726649,0.1366780112667687,0.14667801126676872
17,58941.390574534125,1,0.07640522190313438,0.07509672346022318,0.0877423137060276,0.08820117621071265
18,59025.99150111736,1,0.04726756267595421,0.042748756011509466,0.032310407100447414,0.03250287297511067
19,59025.99150111737,0,0.07523919112153474,0.0656468528597329,0.07639657891826568,0.06814969848261798
20,59138.57984599942,1,0.04806097886541045,0.042270386239097124,0.03883805256187056,0.020010848191130075
21,59138.579845999455,0,0.06808366108847734,0.06054659440984017,0.05034946821167985,0.04334546111103354
22,59138.579845999455,0,0.10095084374467,0.09190341185714196,0.06903839834319436,0.0607114977344032
23,59138.579845999455,0,0.14309713881221012,0.14521024193761983,0.10081344734116549,0.09181235860175274
24,59138.579845999426,0,0.15930580636644445,0.15332632525593745,0.14294282507231104,0.14486367511074305
